fans,lights,fridge,tv,ac,water_heater,washing_machine,microwave,num_family_members,house_size,num_rooms,voltage,electricity_bill
6,10,1,1,1,0,0,0,7,1566,2,240.16682313310793,4422.734834605598
3,10,1,1,1,0,0,1,1,2351,5,232.90112070995164,4345.602409639937
4,13,1,1,0,0,0,0,7,810,2,244.4611960443426,1687.1544275832491
5,11,1,1,2,0,1,0,3,310,5,248.44661293100128,7529.248090357375
3,9,1,1,0,0,0,0,3,2191,9,222.50850312546112,1375.8071504239886
4,9,1,1,0,0,1,0,2,3016,9,232.07300505740108,1698.160075253966
3,6,1,1,0,0,0,0,7,3668,5,225.4077274025734,1233.3885920718697
3,10,1,1,0,1,1,0,2,1041,2,223.41707650444692,3058.4158412536053
2,7,1,1,1,1,0,0,4,3702,2,242.97087508739776,5370.2361748479425
3,5,1,0,0,1,1,0,6,1114,8,245.88573804301836,2733.7956815930147
2,13,1,1,0,0,1,1,3,1131,6,223.67246231229262,1894.723310709396
1,13,1,1,1,0,0,0,3,2208,5,245.72609342943042,4253.263336615522
4,13,1,2,1,0,0,0,6,1269,4,250.0,4647.80143442333
2,16,1,0,0,0,1,1,6,1149,7,222.79149209598776,1936.6949234049468
2,10,1,1,0,0,0,0,4,1134,1,239.0459955730422,1399.269405041335
4,6,1,1,0,1,0,0,2,2489,3,231.6633658315316,2656.394935566659
3,14,1,1,0,0,1,0,2,2325,4,227.6443286869354,1997.8873883001163
8,7,1,1,1,0,1,1,5,1123,3,242.53944212179894,4825.118938107154
1,8,0,1,2,0,1,0,6,3264,4,232.74759632437616,6835.76448274596
1,7,0,1,0,1,1,1,3,3615,2,242.44008930419855,2674.4385971972224
4,9,1,2,0,0,1,0,5,3069,8,235.82730484141268,1916.2767449017035
2,5,1,1,1,1,0,0,4,813,3,240.7164179355352,5282.457710638621
2,8,1,1,1,1,0,0,6,3635,1,239.93705571088913,5437.112241248281
3,9,1,1,0,0,0,1,4,1161,4,231.84191558588847,1494.2792906528373
6,15,1,0,0,0,1,0,6,1586,6,236.1366985938245,2113.4935696056273
2,9,1,1,0,0,0,0,2,2460,1,229.80577601904278,1307.8164348033895
3,9,1,1,1,0,0,0,1,1826,9,227.36097244723885,4183.380299165149
2,15,1,0,0,1,0,0,5,3203,9,213.9853673128654,2937.722582171206
4,10,1,1,1,0,0,0,7,1292,8,228.86991214276833,4292.933461052867
5,11,1,1,1,0,1,1,2,2545,6,236.19690695507097,4823.141241910624
4,11,1,0,1,1,1,0,5,1619,7,234.75477105456937,5873.986045894353
2,11,1,2,1,1,0,0,1,2100,9,244.265888649782,5817.152333579582
0,9,1,1,1,0,0,0,1,2368,5,221.2046132169329,3974.4561440494176
2,10,1,1,0,1,1,0,3,1546,9,221.7705122173604,3036.0047573269735
3,9,1,1,0,1,1,0,4,2713,4,231.90857471429342,3034.731831023342
4,11,2,1,0,0,0,0,6,2276,5,233.6191023825249,1892.946038920563
2,5,1,1,0,0,0,0,4,3439,4,243.00253900024052,1096.631891497703
7,13,0,1,0,0,0,0,4,872,4,225.2813402091307,1596.5153280767008
5,8,1,1,2,0,0,1,2,1209,1,231.42986452469998,7195.268147259858
1,7,1,0,0,0,1,0,6,3617,7,211.36445094580154,1216.7843960735865
